"CountryCode","gdpRank","X.2","fullName","gdpValue","X.5","X.6","X.7","X.8","X.9"
"JAM",116,NA,"Jamaica"," 14,755 ","",NA,NA,NA,NA
"BWA",117,NA,"Botswana"," 14,504 ","",NA,NA,NA,NA
"MOZ",118,NA,"Mozambique"," 14,244 ","",NA,NA,NA,NA
"SEN",119,NA,"Senegal"," 14,046 ","",NA,NA,NA,NA
"KHM",120,NA,"Cambodia"," 14,038 ","",NA,NA,NA,NA
"COG",121,NA,"Congo, Rep."," 13,678 ","",NA,NA,NA,NA
"ISL",122,NA,"Iceland"," 13,579 ","",NA,NA,NA,NA
"NAM",123,NA,"Namibia"," 13,072 ","",NA,NA,NA,NA
"TCD",124,NA,"Chad"," 12,887 ","",NA,NA,NA,NA
"ALB",125,NA,"Albania"," 12,648 ","",NA,NA,NA,NA
"NIC",126,NA,"Nicaragua"," 10,507 ","",NA,NA,NA,NA
"MUS",127,NA,"Mauritius"," 10,486 ","",NA,NA,NA,NA
"BFA",128,NA,"Burkina Faso"," 10,441 ","",NA,NA,NA,NA
"MLI",129,NA,"Mali"," 10,308 ","",NA,NA,NA,NA
"MNG",130,NA,"Mongolia"," 10,271 ","",NA,NA,NA,NA
"SSD",131,NA,"South Sudan"," 10,220 ","",NA,NA,NA,NA
"MDG",132,NA,"Madagascar"," 9,975 ","",NA,NA,NA,NA
"ARM",133,NA,"Armenia"," 9,951 ","",NA,NA,NA,NA
"ZWE",134,NA,"Zimbabwe"," 9,802 ","",NA,NA,NA,NA
"MKD",135,NA,"Macedonia, FYR"," 9,613 ","",NA,NA,NA,NA
"LAO",136,NA,"Lao PDR"," 9,418 ","",NA,NA,NA,NA
"MLT",137,NA,"Malta"," 8,722 ","",NA,NA,NA,NA
"BHS",138,NA,"Bahamas, The"," 8,149 ","",NA,NA,NA,NA
"HTI",139,NA,"Haiti"," 7,843 ","",NA,NA,NA,NA
"BEN",140,NA,"Benin"," 7,557 ","",NA,NA,NA,NA
"MDA",141,NA,"Moldova"," 7,253 ","f",NA,NA,NA,NA
"RWA",142,NA,"Rwanda"," 7,103 ","",NA,NA,NA,NA
"TJK",143,NA,"Tajikistan"," 6,972 ","",NA,NA,NA,NA
"NER",144,NA,"Niger"," 6,773 ","",NA,NA,NA,NA
"KGZ",145,NA,"Kyrgyz Republic"," 6,475 ","",NA,NA,NA,NA
"KSV",146,NA,"Kosovo"," 6,445 ","",NA,NA,NA,NA
"MCO",147,NA,"Monaco"," 6,075 ","",NA,NA,NA,NA
"GIN",148,NA,"Guinea"," 5,632 ","",NA,NA,NA,NA
"BMU",149,NA,"Bermuda"," 5,474 ","",NA,NA,NA,NA
"SUR",150,NA,"Suriname"," 5,012 ","",NA,NA,NA,NA
"MNE",151,NA,"Montenegro"," 4,373 ","",NA,NA,NA,NA
"MWI",152,NA,"Malawi"," 4,264 ","",NA,NA,NA,NA
"BRB",153,NA,"Barbados"," 4,225 ","",NA,NA,NA,NA
"MRT",154,NA,"Mauritania"," 4,199 ","",NA,NA,NA,NA
"FJI",155,NA,"Fiji"," 3,908 ","",NA,NA,NA,NA
"TGO",156,NA,"Togo"," 3,814 ","",NA,NA,NA,NA
"SLE",157,NA,"Sierra Leone"," 3,796 ","",NA,NA,NA,NA
"SWZ",158,NA,"Swaziland"," 3,744 ","",NA,NA,NA,NA
"ERI",159,NA,"Eritrea"," 3,092 ","",NA,NA,NA,NA
"GUY",160,NA,"Guyana"," 2,851 ","",NA,NA,NA,NA
"ABW",161,NA,"Aruba"," 2,584 ","",NA,NA,NA,NA
"BDI",162,NA,"Burundi"," 2,472 ","",NA,NA,NA,NA
"LSO",163,NA,"Lesotho"," 2,448 ","",NA,NA,NA,NA
"MDV",164,NA,"Maldives"," 2,222 ","",NA,NA,NA,NA
"CAF",165,NA,"Central African Republic"," 2,184 ","",NA,NA,NA,NA
"CPV",166,NA,"Cape Verde"," 1,827 ","",NA,NA,NA,NA
"BTN",167,NA,"Bhutan"," 1,780 ","",NA,NA,NA,NA
"LBR",168,NA,"Liberia"," 1,734 ","",NA,NA,NA,NA
"BLZ",169,NA,"Belize"," 1,493 ","",NA,NA,NA,NA
"TMP",170,NA,"Timor-Leste"," 1,293 ","",NA,NA,NA,NA
"LCA",171,NA,"St. Lucia"," 1,239 ","",NA,NA,NA,NA
"ATG",172,NA,"Antigua and Barbuda"," 1,134 ","",NA,NA,NA,NA
"SYC",173,NA,"Seychelles"," 1,129 ","",NA,NA,NA,NA
"SLB",174,NA,"Solomon Islands"," 1,008 ","",NA,NA,NA,NA
"GMB",175,NA,"Gambia, The"," 917 ","",NA,NA,NA,NA
"GNB",176,NA,"Guinea-Bissau"," 822 ","",NA,NA,NA,NA
"VUT",177,NA,"Vanuatu"," 787 ","",NA,NA,NA,NA
"GRD",178,NA,"Grenada"," 767 ","",NA,NA,NA,NA
"KNA",178,NA,"St. Kitts and Nevis"," 767 ","",NA,NA,NA,NA
"VCT",180,NA,"St. Vincent and the Grenadines"," 713 ","",NA,NA,NA,NA
"WSM",181,NA,"Samoa"," 684 ","",NA,NA,NA,NA
"COM",182,NA,"Comoros"," 596 ","",NA,NA,NA,NA
"DMA",183,NA,"Dominica"," 480 ","",NA,NA,NA,NA
"TON",184,NA,"Tonga"," 472 ","",NA,NA,NA,NA
"FSM",185,NA,"Micronesia, Fed. Sts."," 326 ","",NA,NA,NA,NA
"STP",186,NA,"São Tomé and Principe"," 263 ","",NA,NA,NA,NA
"PLW",187,NA,"Palau"," 228 ","",NA,NA,NA,NA
"MHL",188,NA,"Marshall Islands"," 182 ","",NA,NA,NA,NA
"KIR",189,NA,"Kiribati"," 175 ","",NA,NA,NA,NA
"TUV",190,NA,"Tuvalu"," 40 ","",NA,NA,NA,NA
